Title,Category,Authors,Date,PDF
MUSE: Multi-faceted Attention for Signed Network Embedding,SI,"Dengcheng Yan, Youwen Zhang, Wei Li, Yiwen Zhang","29 April, 2021",https://arxiv.org/pdf/2104.14449
Parallel implementation of a compatible high-order meshless method for the Stokes' equations,DC,"Quang-Thinh Ha, Paul A. Kuberry, Nathaniel A. Trask, Emily M. Ryan","29 April, 2021",https://arxiv.org/pdf/2104.14447
Trakhtenbrot's Theorem in Coq: Finite Model Theory through the Constructive Lens,LO,"Dominik Kirst, Dominique Larchey-Wendling","29 April, 2021",https://arxiv.org/pdf/2104.14445
Improving Simulations with Symmetry Control Neural Networks,LG,"Marc Syvaeri, Sven Krippendorf","29 April, 2021",https://arxiv.org/pdf/2104.14444
Deterministic Algorithms for the Hidden Subgroup Problem,DS,Ashwin Nayak,"29 April, 2021",https://arxiv.org/pdf/2104.14436
Customizable Reference Runtime Monitoring of Neural Networks using Resolution Boxes,LG,"Changshun Wu, Yliès Falcone, Saddek Bensalem","25 April, 2021",https://arxiv.org/pdf/2104.14435
Machine-Learning Assisted Optimization Strategies for Phase Change Materials Embedded within Electronic Packages,CE,"Meghavin Bhatasana, Amy Marconnet","21 April, 2021",https://arxiv.org/pdf/2104.14433
Bounds on the Number of Mass Points of the Capacity Achieving Distribution of the Amplitude Constraint Poisson Noise Channel,IT,"Alex Dytso, Luca Barletta, Shlomo Shamai","29 April, 2021",https://arxiv.org/pdf/2104.14431
Discriminative-Generative Dual Memory Video Anomaly Detection,CV,"Xin Guo, Zhongming Jin, Chong Chen, Helei Nie, Jianqiang Huang, Deng Cai, Xiaofei He, Xiansheng Hua","29 April, 2021",https://arxiv.org/pdf/2104.14430
Photonic co-processors in HPC: using LightOn OPUs for Randomized Numerical Linear Algebra,LG,"Daniel Hesslow, Alessandro Cappelli, Igor Carron, Laurent Daudet, Raphaël Lafargue, Kilian Müller, Ruben Ohana, Gustave Pariente, Iacopo Poli","29 April, 2021",https://arxiv.org/pdf/2104.14429
Predicate Invention by Learning From Failures,AI,"Andrew Cropper, Rolf Morel","29 April, 2021",https://arxiv.org/pdf/2104.14426
Parallel Projection -- A New Return Mapping Algorithm for Finite Element Modeling of Shape Memory Alloys,CE,"Ziliang Kang, Daniel A. Tortorelli, Kai A. James","29 April, 2021",https://arxiv.org/pdf/2104.14424
Integrating 6LoWPAN Security with RPL Using The Chained Secure Mode Framework,CR,"Ahmed Raoof, Chung-Horng Lung, Ashraf Matrawy","29 April, 2021",https://arxiv.org/pdf/2104.14422
What Are Bayesian Neural Network Posteriors Really Like?,LG,"Pavel Izmailov, Sharad Vikram, Matthew D. Hoffman, Andrew Gordon Wilson","29 April, 2021",https://arxiv.org/pdf/2104.14421
Genotype-Guided Radiomics Signatures for Recurrence Prediction of Non-Small-Cell Lung Cancer,CV,"Panyanat Aonpong, Yutaro Iwamoto, Xian-Hua Han, Lanfen Lin, Yen-Wei Chen","29 April, 2021",https://arxiv.org/pdf/2104.14420
Enhancing Safety of Students with Mobile Air Filtration during School Reopening from COVID-19,RO,"Haoguang Yang, Mythra V. Balakuntala, Abigayle E. Moser, Jhon J. Quiñones, Ali Doosttalab, Antonio Esquivel-Puentes, Tanya Purwar, Luciano Castillo, Nina Mahmoudian, Richard M. Voyles","29 April, 2021",https://arxiv.org/pdf/2104.14418
Polytime reductions of AF-algebraic problems,CC,Daniele Mundici,"28 April, 2021",https://arxiv.org/pdf/2104.14415
Guessing the buffer bound for k-synchronizability,FL,"Cinzia Di Giusto, Laetitia Laversa, Etienne Lozes","29 April, 2021",https://arxiv.org/pdf/2104.14408
"Dynamical prediction of two meteorological factors using the deep neural network and the long short-term memory <span class=""MathJax_Preview"">(2)</span><script type=""math/tex"">(2)</script>",LG,"Ki-Hong Shin, Jae-Won Jung, Ki-Ho Chang, Dong-In Lee, Cheol-Hwan You, Kyungsik Kim","28 April, 2021",https://arxiv.org/pdf/2104.14406
"A 0.502<span class=""MathJax_Preview"">\cdot</span><script type=""math/tex"">\cdot</script>MaxCut Approximation using Quadratic Programming",DS,Stefan Steinerberger,"29 April, 2021",https://arxiv.org/pdf/2104.14404
Do Feature Attribution Methods Correctly Attribute Features?,LG,"Yilun Zhou, Serena Booth, Marco Tulio Ribeiro, Julie Shah","27 April, 2021",https://arxiv.org/pdf/2104.14403
Implementing Reinforcement Learning Algorithms in Retail Supply Chains with OpenAI Gym Toolkit,LG,Shaun D'Souza,"26 April, 2021",https://arxiv.org/pdf/2104.14398
On the use of PN Ranging with High-rate Spectrally-efficient Modulations,IT,"Barbara Ripani, Andrea Modenini, Roberto Garello, Gabriel Maiolini Capez, Guido Montorsi","29 April, 2021",https://arxiv.org/pdf/2104.14397
Accurate outdoor ground truth based on total stations,RO,"Maxime Vaidis, Philippe Giguère, François Pomerleau, Vladimír Kubelka","29 April, 2021",https://arxiv.org/pdf/2104.14396
Revising Johnson's table for the 21st century,CC,"Celina M. H. de Figueiredo, Alexsander A. de Melo, Diana Sasaki, Ana Silva","29 April, 2021",https://arxiv.org/pdf/2104.14395
COSCO: Container Orchestration using Co-Simulation and Gradient Based Optimization for Fog Computing Environments,DC,"Shreshth Tuli, Shivananda Poojara, Satish N. Srirama, Giuliano Casale, Nicholas R. Jennings","29 April, 2021",https://arxiv.org/pdf/2104.14392
Pre-training of Deep RL Agents for Improved Learning under Domain Randomization,LG,"Artemij Amiranashvili, Max Argus, Lukas Hermann, Wolfram Burgard, Thomas Brox","29 April, 2021",https://arxiv.org/pdf/2104.14386
Cross-Domain Few-Shot Classification via Adversarial Task Augmentation,CV,"Haoqing Wang, Zhi-Hong Deng","29 April, 2021",https://arxiv.org/pdf/2104.14385
"Quantum speedups for dynamic programming on <span class=""MathJax_Preview"">n</span><script type=""math/tex"">n</script>-dimensional lattice graphs",CC,"Adam Glos, Ryuhei Mori, Jevgēnijs Vihrovs","29 April, 2021",https://arxiv.org/pdf/2104.14384
Privacy-Preserving Federated Learning on Partitioned Attributes,LG,"Shuang Zhang, Liyao Xiang, Xi Yu, Pengzhi Chu, Yingqi Chen, Chen Cen, Li Wang","29 April, 2021",https://arxiv.org/pdf/2104.14383
PPFL: Privacy-preserving Federated Learning with Trusted Execution Environments,CR,"Fan Mo, Hamed Haddadi, Kleomenis Katevas, Eduard Marin, Diego Perino, Nicolas Kourtellis","29 April, 2021",https://arxiv.org/pdf/2104.14380
Learning Robust Variational Information Bottleneck with Reference,LG,"Weizhu Qian, Bowei Chen, Xiaowei Huang","29 April, 2021",https://arxiv.org/pdf/2104.14379
MinMaxCAM: Improving object coverage for CAM-basedWeakly Supervised Object Localization,CV,"Kaili Wang, Jose Oramas, Tinne Tuytelaars","29 April, 2021",https://arxiv.org/pdf/2104.14375
Thermal Infrared Image Colorization for Nighttime Driving Scenes with Top-Down Guided Attention,CV,"Fuya Luo, Yunhan Li, Guang Zeng, Peng Peng, Gang Wang, Yongjie Li","29 April, 2021",https://arxiv.org/pdf/2104.14374
A neural anisotropic view of underspecification in deep learning,LG,"Guillermo Ortiz-Jimenez, Itamar Franco Salazar-Reque, Apostolos Modas, Seyed-Mohsen Moosavi-Dezfooli, Pascal Frossard","29 April, 2021",https://arxiv.org/pdf/2104.14372
Generalized Linear Models with Structured Sparsity Estimators,LG,Mehmet Caner,"29 April, 2021",https://arxiv.org/pdf/2104.14371
Graph-Embedded Subspace Support Vector Data Description,LG,"Fahad Sohrab, Alexandros Iosifidis, Moncef Gabbouj, Jenni Raitoharju","29 April, 2021",https://arxiv.org/pdf/2104.14370
A Dynamic Architecture for Task Assignment and Scheduling for Collaborative Robotic Cells,RO,"Andrea Pupa, Chiara Talignani Landi, Mattia Bertolani, Cristian Secchi","29 April, 2021",https://arxiv.org/pdf/2104.14363
From Distributed Machine Learning to Federated Learning: A Survey,DC,"Ji Liu, Jizhou Huang, Yang Zhou, Xuhong Li, Shilei Ji, Haoyi Xiong, Dejing Dou","29 April, 2021",https://arxiv.org/pdf/2104.14362
Video Salient Object Detection via Adaptive Local-Global Refinement,CV,"Yi Tang, Yuanman Li, Guoliang Xing","29 April, 2021",https://arxiv.org/pdf/2104.14360
BlockColdChain: Vaccine Cold Chain Blockchain,CR,"Ronan D. Mendonça, Otávio S. Gomes, Luiz F. M. Vieira, Marcos A. M. Vieira, Alex B. Vieira, José A. M. Nacif","28 April, 2021",https://arxiv.org/pdf/2104.14357
SoCRATES: System-on-Chip Resource Adaptive Scheduling using Deep Reinforcement Learning,OS,"Tegg Taekyong Sung, Bo Ryu","28 April, 2021",https://arxiv.org/pdf/2104.14354
A Smartphone based Application for Skin Cancer Classification Using Deep Learning with Clinical Images and Lesion Information,CV,"Breno Krohling, Pedro B. C. Castro, Andre G. C. Pacheco, Renato A. Krohling","28 April, 2021",https://arxiv.org/pdf/2104.14353
Hand Gesture Recognition Based on a Nonconvex Regularization,CV,"Jing Qin, Joshua Ashley, Biyun Xie","29 April, 2021",https://arxiv.org/pdf/2104.14349
Picking Sequences and Monotonicity in Weighted Fair Division,GT,"Mithun Chakraborty, Ulrike Schmidt-Kraepelin, Warut Suksompong","29 April, 2021",https://arxiv.org/pdf/2104.14347
